Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,TrackStatus,lap_time_s,time_s,lap_start_time_s,air_temp_c,track_temp_c,humidity_pct,rainfall,is_in_lap,is_out_lap,is_missing_laptime,is_inaccurate,is_wet_compound,is_non_green,is_unknown_status,is_deleted,is_pace_lap,stint_crosses_red_flag
VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,1.0,12,84.238,3807.435,3722.95,25.2,43.1,44.0,False,False,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,1.0,1,79.367,3886.802,3807.435,25.2,42.8,45.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,1.0,1,79.074,3965.876,3886.802,25.3,42.8,45.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,1.0,1,78.129,4044.005,3965.876,25.4,42.8,45.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,1.0,1,78.019,4122.024,4044.005,25.5,42.4,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,1.0,1,77.64,4199.664,4122.024,25.4,41.6,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,7.0,1.0,MEDIUM,7.0,True,1.0,1,77.633,4277.297,4199.664,25.4,41.4,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,8.0,1.0,MEDIUM,8.0,True,1.0,1,77.397,4354.694,4277.297,25.4,40.9,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,9.0,1.0,MEDIUM,9.0,True,1.0,1,77.031,4431.725,4354.694,25.5,41.2,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,10.0,1.0,MEDIUM,10.0,True,1.0,1,77.084,4508.809,4431.725,25.5,40.9,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,11.0,1.0,MEDIUM,11.0,True,1.0,1,76.858,4585.667,4508.809,25.4,40.2,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,12.0,1.0,MEDIUM,12.0,True,1.0,12,76.993,4662.66,4585.667,25.3,40.0,44.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,13.0,1.0,MEDIUM,13.0,True,1.0,21,77.434,4740.094,4662.66,25.4,40.1,43.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,14.0,1.0,MEDIUM,14.0,True,1.0,12,77.065,4817.159,4740.094,25.4,40.1,43.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,15.0,1.0,MEDIUM,15.0,True,1.0,21,77.079,4894.238,4817.159,25.3,39.9,43.0,False,False,False,False,False,False,True,False,False,False,False
VER,1,Red Bull Racing,16.0,1.0,MEDIUM,16.0,True,1.0,1,76.824,4971.062,4894.238,25.3,39.5,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,17.0,1.0,MEDIUM,17.0,True,1.0,1,76.86,5047.922,4971.062,25.3,39.5,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,18.0,1.0,MEDIUM,18.0,True,1.0,1,76.712,5124.634,5047.922,25.2,39.8,44.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,19.0,1.0,MEDIUM,19.0,True,1.0,1,76.823,5201.457,5124.634,25.3,39.8,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,20.0,1.0,MEDIUM,20.0,True,1.0,1,77.214,5278.671,5201.457,25.3,39.9,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,21.0,1.0,MEDIUM,21.0,True,1.0,1,76.803,5355.474,5278.671,25.3,39.7,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,22.0,1.0,MEDIUM,22.0,True,1.0,1,76.659,5432.133,5355.474,25.4,39.2,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,23.0,1.0,MEDIUM,23.0,True,1.0,1,76.604,5508.737,5432.133,25.3,39.1,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,24.0,1.0,MEDIUM,24.0,True,1.0,1,76.798,5585.535,5508.737,25.4,39.0,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,25.0,1.0,MEDIUM,25.0,True,1.0,1,77.183,5662.718,5585.535,25.4,39.0,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,26.0,1.0,MEDIUM,26.0,True,1.0,1,77.212,5739.93,5662.718,25.4,38.8,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,27.0,1.0,MEDIUM,27.0,True,1.0,1,77.259,5817.189,5739.93,25.3,38.8,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,28.0,1.0,MEDIUM,28.0,True,1.0,1,77.77,5894.959,5817.189,25.4,39.1,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,29.0,1.0,MEDIUM,29.0,True,1.0,1,78.001,5972.96,5894.959,25.4,39.1,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,30.0,1.0,MEDIUM,30.0,True,1.0,1,78.16,6051.12,5972.96,25.5,38.8,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,31.0,1.0,MEDIUM,31.0,True,1.0,1,78.741,6129.861,6051.12,25.6,38.6,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,32.0,1.0,MEDIUM,32.0,True,1.0,1,78.816,6208.677,6129.861,25.6,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,33.0,1.0,MEDIUM,33.0,True,1.0,1,78.946,6287.623,6208.677,25.6,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,34.0,1.0,MEDIUM,34.0,True,1.0,1,78.044,6365.667,6287.623,25.5,38.4,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,35.0,1.0,MEDIUM,35.0,True,1.0,1,78.024,6443.691,6365.667,25.5,37.9,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,36.0,1.0,MEDIUM,36.0,True,1.0,1,77.974,6521.665,6443.691,25.5,37.9,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,37.0,1.0,MEDIUM,37.0,True,1.0,1,77.273,6598.938,6521.665,25.3,37.6,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,38.0,1.0,MEDIUM,38.0,True,1.0,1,77.122,6676.06,6598.938,25.3,37.5,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,39.0,1.0,MEDIUM,39.0,True,1.0,1,76.966,6753.026,6676.06,25.3,36.8,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,40.0,1.0,MEDIUM,40.0,True,1.0,1,77.161,6830.187,6753.026,25.3,36.7,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,41.0,1.0,MEDIUM,41.0,True,1.0,1,76.944,6907.131,6830.187,25.3,36.8,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,42.0,1.0,MEDIUM,42.0,True,1.0,1,76.8,6983.931,6907.131,25.3,36.5,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,43.0,1.0,MEDIUM,43.0,True,1.0,1,76.963,7060.894,6983.931,25.3,36.5,41.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,44.0,1.0,MEDIUM,44.0,True,1.0,1,76.722,7137.616,7060.894,25.2,36.3,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,45.0,1.0,MEDIUM,45.0,True,1.0,1,76.701,7214.317,7137.616,25.2,36.3,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,46.0,1.0,MEDIUM,46.0,True,1.0,1,77.075,7291.392,7214.317,25.1,36.1,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,47.0,1.0,MEDIUM,47.0,True,1.0,1,77.16,7368.552,7291.392,25.0,36.0,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,48.0,1.0,MEDIUM,48.0,True,1.0,1,77.065,7445.617,7368.552,25.1,36.0,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,49.0,1.0,MEDIUM,49.0,True,1.0,1,77.428,7523.045,7445.617,25.0,35.9,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,50.0,1.0,MEDIUM,50.0,True,1.0,1,77.314,7600.359,7523.045,25.0,35.8,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,51.0,1.0,MEDIUM,51.0,True,1.0,1,77.427,7677.786,7600.359,25.0,35.7,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,52.0,1.0,MEDIUM,52.0,True,1.0,1,84.046,7761.832,7677.786,25.0,35.7,43.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,53.0,1.0,MEDIUM,53.0,True,1.0,1,89.919,7851.751,7761.832,24.9,35.2,42.0,False,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,54.0,1.0,MEDIUM,54.0,True,1.0,1,98.946,7950.697,7851.751,24.8,35.1,42.0,True,False,False,False,False,False,False,False,False,True,False
VER,1,Red Bull Racing,55.0,1.0,MEDIUM,55.0,True,1.0,12,130.567,8081.264,7950.697,24.7,34.7,43.0,True,True,False,False,True,False,True,False,False,False,False
VER,1,Red Bull Racing,56.0,2.0,INTERMEDIATE,1.0,True,1.0,21,106.131,8187.395,8081.264,24.6,34.0,44.0,True,False,True,False,True,True,True,False,False,False,False
VER,1,Red Bull Racing,57.0,2.0,INTERMEDIATE,2.0,True,1.0,1,103.464,8290.859,8187.395,24.3,32.8,48.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,58.0,2.0,INTERMEDIATE,3.0,True,1.0,12,102.808,8393.667,8290.859,24.0,31.3,51.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,59.0,2.0,INTERMEDIATE,4.0,True,1.0,12,103.791,8497.458,8393.667,24.0,30.1,52.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,60.0,2.0,INTERMEDIATE,5.0,True,1.0,12,101.54,8598.998,8497.458,23.9,29.6,51.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,61.0,2.0,INTERMEDIATE,6.0,True,1.0,12,100.797,8699.795,8598.998,23.6,29.2,58.0,True,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,62.0,2.0,INTERMEDIATE,7.0,True,1.0,1,99.272,8799.067,8699.795,23.5,28.7,58.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,63.0,2.0,INTERMEDIATE,8.0,True,1.0,1,99.61,8898.677,8799.067,23.3,28.2,62.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,64.0,2.0,INTERMEDIATE,9.0,True,1.0,1,98.364,8997.041,8898.677,23.0,27.7,65.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,65.0,2.0,INTERMEDIATE,10.0,True,1.0,1,97.16,9094.201,8997.041,23.0,27.2,66.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,66.0,2.0,INTERMEDIATE,11.0,True,1.0,1,94.035,9188.236,9094.201,23.1,27.4,66.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,67.0,2.0,INTERMEDIATE,12.0,True,1.0,1,92.921,9281.157,9188.236,23.2,27.3,66.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,68.0,2.0,INTERMEDIATE,13.0,True,1.0,1,93.659,9374.816,9281.157,23.1,27.6,65.0,True,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,69.0,2.0,INTERMEDIATE,14.0,True,1.0,12,91.607,9466.423,9374.816,23.3,27.8,63.0,False,False,False,False,False,True,True,False,False,False,False
VER,1,Red Bull Racing,70.0,2.0,INTERMEDIATE,15.0,True,1.0,1,91.244,9557.667,9466.423,23.4,28.1,62.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,71.0,2.0,INTERMEDIATE,16.0,True,1.0,1,90.363,9648.03,9557.667,23.5,28.7,62.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,72.0,2.0,INTERMEDIATE,17.0,True,1.0,1,90.402,9738.432,9648.03,23.6,29.0,59.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,73.0,2.0,INTERMEDIATE,18.0,True,1.0,1,88.386,9826.818,9738.432,23.7,29.6,57.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,74.0,2.0,INTERMEDIATE,19.0,True,1.0,1,86.864,9913.682,9826.818,23.8,30.0,57.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,75.0,2.0,INTERMEDIATE,20.0,True,1.0,1,85.518,9999.2,9913.682,23.8,30.0,57.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,76.0,2.0,INTERMEDIATE,21.0,True,1.0,1,85.316,10084.516,9999.2,23.9,30.4,57.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,77.0,2.0,INTERMEDIATE,22.0,True,1.0,1,85.46,10169.976,10084.516,23.9,30.7,57.0,False,False,False,False,False,True,False,False,False,False,False
VER,1,Red Bull Racing,78.0,2.0,INTERMEDIATE,23.0,True,1.0,1,85.201,10255.177,10169.976,23.9,30.7,58.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,1.0,1.0,HARD,1.0,True,7.0,12,89.701,3812.898,3722.95,25.2,43.1,44.0,False,False,False,False,True,False,True,False,False,False,False
GAS,10,Alpine,2.0,1.0,HARD,2.0,True,7.0,1,80.636,3893.534,3812.898,25.2,42.8,45.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,3.0,1.0,HARD,3.0,True,7.0,1,80.282,3973.816,3893.534,25.3,42.8,45.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,4.0,1.0,HARD,4.0,True,7.0,1,79.577,4053.393,3973.816,25.4,42.8,45.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,5.0,1.0,HARD,5.0,True,7.0,1,78.893,4132.286,4053.393,25.4,42.4,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,6.0,1.0,HARD,6.0,True,7.0,1,78.842,4211.128,4132.286,25.4,41.6,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,7.0,1.0,HARD,7.0,True,7.0,1,78.604,4289.732,4211.128,25.4,41.4,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,8.0,1.0,HARD,8.0,True,7.0,1,79.317,4369.049,4289.732,25.4,41.0,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,9.0,1.0,HARD,9.0,True,7.0,1,78.788,4447.837,4369.049,25.5,41.2,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,10.0,1.0,HARD,10.0,True,7.0,1,78.31,4526.147,4447.837,25.5,40.9,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,11.0,1.0,HARD,11.0,True,7.0,1,78.367,4604.514,4526.147,25.3,40.0,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,12.0,1.0,HARD,12.0,True,7.0,12,78.582,4683.096,4604.514,25.3,40.0,44.0,False,False,False,False,False,False,True,False,False,False,False
GAS,10,Alpine,13.0,1.0,HARD,13.0,True,7.0,1,77.713,4760.809,4683.096,25.4,40.1,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,14.0,1.0,HARD,14.0,True,7.0,12,78.564,4839.373,4760.809,25.4,40.1,43.0,False,False,False,False,False,False,True,False,False,False,False
GAS,10,Alpine,15.0,1.0,HARD,15.0,True,7.0,1,78.284,4917.657,4839.373,25.3,39.9,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,16.0,1.0,HARD,16.0,True,7.0,1,78.298,4995.955,4917.657,25.3,39.5,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,17.0,1.0,HARD,17.0,True,7.0,1,77.99,5073.945,4995.955,25.3,39.5,44.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,18.0,1.0,HARD,18.0,True,7.0,1,78.453,5152.398,5073.945,25.3,39.8,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,19.0,1.0,HARD,19.0,True,7.0,1,78.109,5230.507,5152.398,25.3,39.9,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,20.0,1.0,HARD,20.0,True,7.0,1,78.587,5309.094,5230.507,25.3,39.9,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,21.0,1.0,HARD,21.0,True,7.0,1,77.81,5386.904,5309.094,25.4,39.2,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,22.0,1.0,HARD,22.0,True,7.0,1,78.213,5465.117,5386.904,25.4,39.1,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,23.0,1.0,HARD,23.0,True,7.0,1,77.942,5543.059,5465.117,25.3,39.1,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,24.0,1.0,HARD,24.0,True,7.0,1,77.577,5620.636,5543.059,25.4,39.0,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,25.0,1.0,HARD,25.0,True,7.0,1,77.54,5698.176,5620.636,25.4,38.8,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,26.0,1.0,HARD,26.0,True,7.0,1,77.912,5776.088,5698.176,25.3,38.6,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,27.0,1.0,HARD,27.0,True,7.0,1,78.012,5854.1,5776.088,25.3,38.8,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,28.0,1.0,HARD,28.0,True,7.0,1,77.285,5931.385,5854.1,25.4,39.1,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,29.0,1.0,HARD,29.0,True,7.0,1,77.373,6008.758,5931.385,25.4,38.9,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,30.0,1.0,HARD,30.0,True,7.0,1,77.083,6085.841,6008.758,25.5,38.8,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,31.0,1.0,HARD,31.0,True,6.0,1,78.015,6163.856,6085.841,25.6,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,32.0,1.0,HARD,32.0,True,5.0,1,77.384,6241.24,6163.856,25.6,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,33.0,1.0,HARD,33.0,True,4.0,1,77.45,6318.69,6241.24,25.6,38.4,40.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,34.0,1.0,HARD,34.0,True,4.0,1,77.207,6395.897,6318.69,25.5,38.4,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,35.0,1.0,HARD,35.0,True,4.0,1,77.421,6473.318,6395.897,25.5,37.9,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,36.0,1.0,HARD,36.0,True,4.0,1,77.668,6550.986,6473.318,25.4,37.9,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,37.0,1.0,HARD,37.0,True,4.0,1,77.212,6628.198,6550.986,25.3,37.6,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,38.0,1.0,HARD,38.0,True,4.0,1,77.556,6705.754,6628.198,25.3,36.8,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,39.0,1.0,HARD,39.0,True,4.0,1,77.102,6782.856,6705.754,25.3,36.8,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,40.0,1.0,HARD,40.0,True,4.0,1,77.221,6860.077,6782.856,25.3,36.7,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,41.0,1.0,HARD,41.0,True,4.0,1,77.654,6937.731,6860.077,25.3,36.8,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,42.0,1.0,HARD,42.0,True,4.0,1,78.559,7016.29,6937.731,25.3,36.5,41.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,43.0,1.0,HARD,43.0,True,4.0,1,77.699,7093.989,7016.29,25.2,36.4,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,44.0,1.0,HARD,44.0,True,3.0,1,78.042,7172.031,7093.989,25.2,36.3,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,45.0,1.0,HARD,45.0,True,3.0,1,76.839,7248.87,7172.031,25.1,36.1,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,46.0,1.0,HARD,46.0,True,3.0,1,76.997,7325.867,7248.87,25.0,36.1,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,47.0,1.0,HARD,47.0,True,7.0,1,93.267,7419.134,7325.867,25.0,36.0,43.0,False,True,False,False,True,False,False,False,False,False,False
GAS,10,Alpine,48.0,2.0,MEDIUM,1.0,True,8.0,1,79.884,7499.018,7419.134,25.0,35.9,42.0,False,False,True,False,True,False,False,False,False,False,False
GAS,10,Alpine,49.0,2.0,MEDIUM,2.0,True,8.0,1,75.831,7574.849,7499.018,25.0,35.8,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,50.0,2.0,MEDIUM,3.0,True,8.0,1,75.955,7650.804,7574.849,25.0,35.8,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,51.0,2.0,MEDIUM,4.0,True,8.0,1,76.711,7727.515,7650.804,25.0,35.7,43.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,52.0,2.0,MEDIUM,5.0,True,8.0,1,82.349,7809.864,7727.515,25.0,35.3,42.0,False,False,False,False,False,False,False,False,False,True,False
GAS,10,Alpine,53.0,2.0,MEDIUM,6.0,True,8.0,1,95.781,7905.645,7809.864,24.8,35.1,42.0,True,False,False,False,False,False,False,False,True,False,False
GAS,10,Alpine,54.0,2.0,MEDIUM,7.0,True,8.0,12,121.097,8026.742,7905.645,24.7,34.7,43.0,True,True,False,False,True,False,True,False,False,False,False
GAS,10,Alpine,55.0,3.0,INTERMEDIATE,1.0,True,7.0,21,103.22,8129.962,8026.742,24.6,34.5,43.0,True,False,True,False,True,True,True,False,False,False,False
GAS,10,Alpine,56.0,3.0,INTERMEDIATE,2.0,True,7.0,21,101.478,8231.44,8129.962,24.5,33.9,45.0,True,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,57.0,3.0,INTERMEDIATE,3.0,True,7.0,1,103.496,8334.936,8231.44,24.0,31.7,49.0,True,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,58.0,3.0,INTERMEDIATE,4.0,True,7.0,12,103.238,8438.174,8334.936,24.0,31.3,51.0,True,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,59.0,3.0,INTERMEDIATE,5.0,True,7.0,12,103.477,8541.651,8438.174,24.0,29.7,50.0,True,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,60.0,3.0,INTERMEDIATE,6.0,True,7.0,21,102.923,8644.574,8541.651,23.8,29.5,47.0,True,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,61.0,3.0,INTERMEDIATE,7.0,True,7.0,12,102.263,8746.837,8644.574,23.5,28.7,58.0,True,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,62.0,3.0,INTERMEDIATE,8.0,True,7.0,1,100.864,8847.701,8746.837,23.5,28.4,62.0,True,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,63.0,3.0,INTERMEDIATE,9.0,True,7.0,1,100.28,8947.981,8847.701,23.1,27.7,65.0,True,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,64.0,3.0,INTERMEDIATE,10.0,True,7.0,1,99.374,9047.355,8947.981,23.0,27.2,66.0,True,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,65.0,3.0,INTERMEDIATE,11.0,True,7.0,1,98.169,9145.524,9047.355,23.1,27.4,67.0,True,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,66.0,3.0,INTERMEDIATE,12.0,True,7.0,1,96.252,9241.776,9145.524,23.2,27.3,66.0,True,False,False,False,False,True,False,False,True,False,False
GAS,10,Alpine,67.0,3.0,INTERMEDIATE,13.0,True,7.0,1,94.612,9336.388,9241.776,23.1,27.4,65.0,True,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,68.0,3.0,INTERMEDIATE,14.0,True,7.0,12,93.318,9429.706,9336.388,23.3,27.7,64.0,True,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,69.0,3.0,INTERMEDIATE,15.0,True,7.0,21,96.097,9525.803,9429.706,23.4,28.1,62.0,False,False,False,False,False,True,True,False,False,False,False
GAS,10,Alpine,70.0,3.0,INTERMEDIATE,16.0,True,7.0,1,91.098,9616.901,9525.803,23.5,28.2,63.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,71.0,3.0,INTERMEDIATE,17.0,True,7.0,1,90.098,9706.999,9616.901,23.6,29.0,59.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,72.0,3.0,INTERMEDIATE,18.0,True,7.0,1,89.916,9796.915,9706.999,23.6,29.2,58.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,73.0,3.0,INTERMEDIATE,19.0,True,7.0,1,88.128,9885.043,9796.915,23.8,30.0,57.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,74.0,3.0,INTERMEDIATE,20.0,True,7.0,1,87.856,9972.899,9885.043,23.8,30.0,57.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,75.0,3.0,INTERMEDIATE,21.0,True,7.0,1,86.378,10059.277,9972.899,23.8,30.3,56.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,76.0,3.0,INTERMEDIATE,22.0,True,7.0,1,86.077,10145.354,10059.277,23.9,30.7,57.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,77.0,3.0,INTERMEDIATE,23.0,True,7.0,1,85.607,10230.961,10145.354,24.0,30.7,59.0,False,False,False,False,False,True,False,False,False,False,False
GAS,10,Alpine,78.0,3.0,INTERMEDIATE,24.0,True,7.0,1,86.578,10317.539,10230.961,23.9,30.7,56.0,False,False,False,False,False,True,False,False,False,False,False
PER,11,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,18.0,12,118.19,3841.387,3722.95,25.2,43.1,44.0,False,True,False,False,True,False,True,False,False,False,False
